"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"Nhà hàng Bò Tiêu","4.9","888","23C Đ. Bắc Hải","Thành phố Hồ Chí Minh","Quận 10, Thành phố Hồ Chí Minh","VN",,"+84 354 052 107","Nhà hàng","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20B%C3%B2%20Ti%C3%AAu&query_place_id=ChIJRWd0uTQvdTERZiKRCfkDC98"
"Korea House - Món Ăn Hàn Quốc - 코리아 하우스","4.8","2398","237 Tô Hiến Thành","Thành phố Hồ Chí Minh","Quận 10, Thành phố Hồ Chí Minh","VN","http://quananhanquocsaigon.com/","+84 906 705 223","Nhà hàng Hàn Quốc","https://www.google.com/maps/search/?api=1&query=Korea%20House%20-%20M%C3%B3n%20%C4%82n%20H%C3%A0n%20Qu%E1%BB%91c%20-%20%EC%BD%94%EB%A6%AC%EC%95%84%20%ED%95%98%EC%9A%B0%EC%8A%A4&query_place_id=ChIJV_-fUWwvdTER1mekTC8k8Hg"
"Tiệm Mì Nhà Yến","4.8","24","CT3 Đ. Tam Đảo","Thành phố Hồ Chí Minh","Quận 10, Thành phố Hồ Chí Minh","VN","https://www.facebook.com/profile.php?id=61554769710635&mibextid=vk8aRt","+84 388 469 467","Nhà hàng","https://www.google.com/maps/search/?api=1&query=Ti%E1%BB%87m%20M%C3%AC%20Nh%C3%A0%20Y%E1%BA%BFn&query_place_id=ChIJU384IQAvdTER-zT7WeddFVw"
"A","4.5","4128","62 Đ. Đồng Nai","Thành phố Hồ Chí Minh","Quận 10, Thành phố Hồ Chí Minh","VN",,,"Nhà hàng","https://www.google.com/maps/search/?api=1&query=A&query_place_id=ChIJqVmiSycvdTER7n7ho3CJA3I"
"Bún Thịt Nướng Nhà Kim Chi","4.9","167","57 Đ. Vân Côi","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN","https://www.facebook.com/profile.php?id=61566233296074&mibextid=LQQJ4d","+84 906 622 367","Nhà hàng gia đình","https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20Th%E1%BB%8Bt%20N%C6%B0%E1%BB%9Bng%20Nh%C3%A0%20Kim%20Chi&query_place_id=ChIJb4TkDAAvdTERf8NEAHhbgjM"
"Bếp Chay Nhà Zen","4.6","106","54 Đ. Vân Côi","Thành phố Hồ Chí Minh","Sơn Nhất, Thành phố Hồ Chí Minh","VN","http://www.zenhousevietnam.com/","+84 931 806 068","Nhà hàng cho người ăn chay","https://www.google.com/maps/search/?api=1&query=B%E1%BA%BFp%20Chay%20Nh%C3%A0%20Zen&query_place_id=ChIJf6Bdmd8pdTERePsZqIhpQMo"
"Nhà Hàng","5","1","91 Bành Văn Trân","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN",,"+84 389 689 209","Nhà hàng","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng&query_place_id=ChIJ9WwihMsudTERKAniDg-OlnE"
"Quán Nhà","5","27","Trường Sa","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN",,"+84 906 227 531","Quán bia","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20Nh%C3%A0&query_place_id=ChIJyZMESB0pdTERg-0-YvGNu1s"
"Sushi Cô Bông - CN Phú Nhuận","4.8","503","186 Đ. Đặng Văn Ngữ","Thành phố Hồ Chí Minh","Phú Nhuận, Thành phố Hồ Chí Minh","VN","https://sushicobong.com/","+84 902 848 838","Nhà hàng","https://www.google.com/maps/search/?api=1&query=Sushi%20C%C3%B4%20B%C3%B4ng%20-%20CN%20Ph%C3%BA%20Nhu%E1%BA%ADn&query_place_id=ChIJcyXHIusvdTER03HBRMDaS6U"
"Bếp nhà Leo - Bún Thái","4.6","11","34 Bùi Thế Mỹ","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN",,"+84 906 393 890","Nhà hàng","https://www.google.com/maps/search/?api=1&query=B%E1%BA%BFp%20nh%C3%A0%20Leo%20-%20B%C3%BAn%20Th%C3%A1i&query_place_id=ChIJJaEfYGAvdTERPapp7_OLmcE"
